title,style,alcohol_percentage,volume_centiliter,container_type,in_stock_status,price_pounds,beer_image_url,beer_details_url,last_updated_at_UTC
The SUB Beer Tap,Machines,0.0,0.0,,True,99.0,https://www.beerwulf.com/globalassets/the-sub-compact---2l_2_05.png,https://www.beerwulf.com/en-gb/p/beertaps/the-sub-compact-black-edition,05-Jun-2022 11:05:39
Apfel Räuber - 8L BLADE Keg,Cider,4.5,800.0,BladeKeg,True,32.99,https://www.beerwulf.com/globalassets/apfel-rauber---blade-keg_beer_15808_0.png,https://www.beerwulf.com/en-gb/p/beers/apfel-rauber-8l-keg,05-Jun-2022 11:05:39
Cruzcampo Gran Reserva - 2L SUB Keg,Lager,6.4,200.0,Torp,True,9.99,https://www.beerwulf.com/globalassets/cruzcampo-gran-reserva-2l-keg_1_1.png,https://www.beerwulf.com/en-gb/p/beers/cruzcampo-gran-reserva-2l-keg,05-Jun-2022 11:05:39
Edelweiss Hefetrüb - 2L SUB Keg,German Wheat Beer,5.3,200.0,Torp,True,8.99,https://www.beerwulf.com/globalassets/edelweiss---2l-keg_1_03.png,https://www.beerwulf.com/en-gb/p/beers/edelweiss-2l-keg,05-Jun-2022 11:05:39
Strongbow Dark Fruit - 2L SUB Keg,Cider,4.0,200.0,Torp,True,9.99,https://www.beerwulf.com/globalassets/strongbow-dark-fruit_2_1.png,https://www.beerwulf.com/en-gb/p/beers/strongbow-dark-fruit-2l-keg,05-Jun-2022 11:05:39
Birra Moretti Baffo d'Oro - 2L SUB Keg,Lager,4.8,200.0,Torp,True,8.99,https://www.beerwulf.com/globalassets/birra-moretti-baffo-doro-2l-keg_1_0.png,https://www.beerwulf.com/en-gb/p/beers/birra-moretti-baffo-doro-2l-keg,05-Jun-2022 11:05:39
The Birra Moretti Home Bar Bundle,,,600.0,,True,114.0,https://www.beerwulf.com/globalassets/sub-compact--3-bm-autentica--2-bm-glasses-uk_pack_24351_0.png,https://www.beerwulf.com/en-gb/p/beercases/birra-moretti-home-bar-bundle,05-Jun-2022 11:05:43
Gösser Märzen - 8L BLADE Keg,Lager,5.2,800.0,BladeKeg,True,31.99,https://www.beerwulf.com/globalassets/gosser-marzen---blade-keg_beer_22315_05.png,https://www.beerwulf.com/en-gb/p/beers/gosser-marzen-8l-keg,05-Jun-2022 11:05:43
Gösser Zwickl - 8L BLADE Keg,Lager,5.2,800.0,BladeKeg,True,24.7425,https://www.beerwulf.com/globalassets/gosser-zwickl---blade-keg_beer_22668_0.png,https://www.beerwulf.com/en-gb/p/beers/gosser-zwickl-8l-keg,05-Jun-2022 11:05:43
Birra Moretti L'Autentica - 8L BLADE Keg,Lager,4.6,800.0,BladeKeg,True,30.99,https://www.beerwulf.com/globalassets/birra-moretti-ricetta-originale-blade-8l-keg_1_05.png,https://www.beerwulf.com/en-gb/p/beers/birra-moretti-ricetta-originale-blade-8l-keg,05-Jun-2022 11:05:43
