title,style,alcohol_percentage,volume_centiliter,container_type,in_stock_status,price_pounds,beer_image_url,beer_details_url
Ninkasi Brut IPA,IPA,5.6,33.0,Bottle,True,3.29,https://www.beerwulf.com/globalassets/ninkasi-brut-ipabottle.33_14912_0.png,https://www.beerwulf.com/en-gb/p/beers/ninkasi-brut-ipa-bottle-.33
Paljas IPA,IPA,6.0,33.0,Bottle,True,2.29,https://www.beerwulf.com/globalassets/paljas-ipa.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/paljas-ipa.33
Steamworks Flagship IPA,IPA,6.7,33.0,Bottle,True,2.99,https://www.beerwulf.com/globalassets/steamworks-flagship-ipa.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/steamworks-flagship-ipa.33
Peroni Nastro Azzurro,Lager,5.1,33.0,Bottle,True,2.49,https://www.beerwulf.com/globalassets/peroni-nastro-azzurro.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/peroni-nastro-azzurro.33
Maisel & Friends Hoppy Hell,Lager,5.3,33.0,Bottle,True,2.39,https://www.beerwulf.com/globalassets/maisel-friends-hoppy-hell_15525_0.png,https://www.beerwulf.com/en-gb/p/beers/maisel--friends-hoppy-hell-bottle-.33
Westmalle Tripel,Tripel Beer,9.5,33.0,Bottle,True,2.99,https://www.beerwulf.com/globalassets/westmalle-tripel.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/westmalle-tripel2
Ename Blond,Blond Beer,6.5,33.0,Bottle,True,2.49,https://www.beerwulf.com/globalassets/ename-blond.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/ename-blond2
Grimbergen Triple,Tripel Beer,9.0,33.0,Bottle,True,3.29,https://www.beerwulf.com/globalassets/grimbergen-triple.33_1_02.png,https://www.beerwulf.com/en-gb/p/beers/grimbergen-triple2
Steenbrugge Dubbel,Dubbel Beer,6.5,33.0,Bottle,True,2.79,https://www.beerwulf.com/globalassets/steenbrugge-dubbel.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/steenbrugge-dubbel2
Bush Caractère,Quadrupel Beer,12.0,33.0,Bottle,True,3.49,https://www.beerwulf.com/globalassets/bush-amber.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/bush-amber.33
La Chouffe Blonde D'ardenne,Blond Beer,8.0,33.0,Bottle,True,3.09,https://www.beerwulf.com/globalassets/la-chouffe-blonde-dardenne.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/la-chouffe-blonde-dardenne2
Delirium Tremens,Blond Beer,8.5,33.0,Bottle,True,3.09,https://www.beerwulf.com/globalassets/delirium-tremens.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/delirium-tremens2
Leffe Bruin,Dubbel Beer,6.5,30.0,Bottle,True,2.69,https://www.beerwulf.com/globalassets/leffe-bruin-dubbel.3_1_1.png,https://www.beerwulf.com/en-gb/p/beers/leffe-brown-dubbel2
Brugse Zot Blond,Blond Beer,6.0,33.0,Bottle,True,2.69,https://www.beerwulf.com/globalassets/brugse-zot-blond.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/brugse-zot-blond.33
Duvel,Blond Beer,8.5,33.0,Bottle,True,3.09,https://www.beerwulf.com/globalassets/duvel.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/duvel2
Lefort Tripel,Tripel Beer,8.8,33.0,Bottle,True,3.09,https://www.beerwulf.com/globalassets/lefort-tripel.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/lefort-tripel.33
Steamworks Killer Cucumber Ale,Pale Ale,4.7,33.0,Bottle,True,2.99,https://www.beerwulf.com/globalassets/steamworks-killer-cucumber-ale.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/steamworks-killer-cucumber-ale.33
Grisette Blond Gluten Free,Blond Beer,5.5,25.0,Bottle,False,2.39,https://www.beerwulf.com/globalassets/grisette-blond-gluten-free.25_1_1.png,https://www.beerwulf.com/en-gb/p/beers/grisette-blond-gluten-free.25
BRLO Naked,Pale Ale,0.2,33.0,Bottle,False,2.49,https://www.beerwulf.com/globalassets/brlo-naked.33_1_02.png,https://www.beerwulf.com/en-gb/p/beers/brlo-naked.33
Lowlander 0% Wit,White Beer,0.0,33.0,Bottle,False,2.39,https://www.beerwulf.com/globalassets/lowlander-0-wit.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/lowlander-0-wit.33
Force Majeure Traditional Blond,Blond Beer,0.4,33.0,Bottle,False,2.19,https://www.beerwulf.com/globalassets/force-majeure-traditional-blond.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/force-majeure-traditional-blond.33
Lagunitas 12th of Never Ale,IPA,5.5,36.0,Can,False,2.29,https://www.beerwulf.com/globalassets/catalog/beerwulf/beers/lagunitas_12th_of_never_ale.png,https://www.beerwulf.com/en-gb/p/beers/lagunitas-12th-of-never-ale.36
Fourpure Hemisphere Session IPA,IPA,4.2,33.0,Can,False,2.49,https://www.beerwulf.com/globalassets/fourpure-session-ipa.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/fourpure-session--ipa
Fourpure Easy Peeler Session IPA,IPA,4.0,33.0,Can,False,2.39,https://www.beerwulf.com/globalassets/fourpure-easy-peeler-session-ipa.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/fourpure-easy-peeler-session-ipa.33
